Year_Birth,Education,Marital_Status,Income,Dt_Customer,Last_Purchase,Wines,Fruits,Meat,Fish,Sweet,Gold,Deal_Purchases,Web_Purchases,Catalog_Purchases,Store_Purchases,Web_Visits,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Children,Age,Customer_From,Total_Spending,Luxury_Spending,Necessity_Spending,Need_Attention,Luxury_Consumer,CLV
1953,1,0,0.49,2013-06-20,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,1,70,3482,660,368,292,1,1,0.18954623779437105
1989,0,0,0.32,2013-01-31,51,23,0,26,7,15,3,1,2,0,4,5,0,0,0,0,0,0,0,1,34,3622,74,26,48,1,0,0.020430701270016567
1978,1,1,0.17,2014-05-11,76,1,5,8,4,8,20,2,2,1,2,6,0,0,0,0,0,0,0,1,45,3157,46,21,25,1,0,0.014570795058599937
1962,1,1,0.28,2013-08-17,76,56,0,12,0,0,18,2,2,0,4,7,0,0,0,0,0,0,0,1,61,3424,86,74,12,1,1,0.02511682242990654
1945,0,1,0.55,2013-11-05,84,508,124,249,50,38,134,1,6,5,13,3,0,0,0,0,0,0,0,0,78,3344,1103,642,461,1,1,0.3298444976076555
1974,1,0,0.17,2014-01-21,56,29,0,25,2,2,3,4,2,1,4,4,0,0,0,0,0,0,0,1,49,3267,61,32,29,1,1,0.01867156412610958
1981,0,0,0.36,2013-11-19,31,46,7,59,2,4,27,2,3,1,3,6,1,0,0,0,0,0,1,1,42,3330,145,73,72,1,1,0.04354354354354354
1956,0,0,0.47,2012-09-14,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,2,67,3761,684,486,198,0,1,0.18186652486040947
1954,1,0,0.5,2013-11-12,91,350,3,39,0,0,19,2,9,1,4,8,0,0,0,0,0,0,0,1,69,3337,411,369,42,1,1,0.12316451902906803
1986,0,1,0.22,2012-10-13,40,10,0,8,0,0,9,1,1,0,2,9,1,0,0,0,0,0,1,1,37,3732,27,19,8,1,1,0.007234726688102894
1943,1,1,0.5,2013-07-06,59,735,40,183,52,20,30,2,9,3,13,6,0,0,0,0,0,0,0,0,80,3466,1060,765,295,1,1,0.3058280438545874
1964,0,0,0.59,2012-08-29,96,897,126,196,91,112,37,3,10,4,7,6,0,0,0,0,0,0,0,1,59,3777,1459,934,525,1,1,0.3862854117024093
1979,0,0,0.05,2012-08-29,61,5,2,3,3,0,5,1,1,0,2,8,0,0,0,0,0,0,0,1,44,3777,18,10,8,1,1,0.004765687053216839
1974,0,0,0.73,2012-09-22,14,777,35,731,39,137,114,1,5,9,11,2,0,0,1,0,0,0,1,0,49,3753,1833,891,942,0,0,0.48840927258193445
1960,1,0,0.47,2014-04-03,16,162,6,37,6,13,13,2,1,3,6,1,0,0,0,0,0,0,0,1,63,3195,237,175,62,0,1,0.07417840375586854
1963,1,1,0.19,2014-05-28,98,35,0,11,0,0,2,4,2,1,3,7,0,0,0,0,0,0,0,2,60,3140,48,37,11,1,1,0.015286624203821656
1976,0,0,0.4,2013-07-21,11,342,9,112,19,14,19,10,5,2,9,7,0,0,0,0,0,0,1,2,47,3451,515,361,154,0,1,0.14923210663575776
1974,0,0,0.49,2012-12-05,52,258,105,239,237,172,9,1,7,3,4,4,0,0,0,0,0,0,0,0,49,3679,1020,267,753,1,0,0.2772492525142702
1961,0,0,0.69,2014-05-29,19,658,80,483,123,13,13,1,3,2,5,1,0,0,0,0,0,0,0,0,62,3139,1370,671,699,0,0,0.4364447276202612
1951,0,0,0.5,2013-03-11,61,356,80,329,138,17,106,2,7,6,10,5,0,0,0,0,0,0,0,1,72,3583,1026,462,564,1,0,0.2863522188110522
1965,0,0,0.38,2014-03-23,73,213,5,28,7,7,41,1,4,1,6,5,0,0,0,0,0,0,0,1,58,3206,301,254,47,1,1,0.09388646288209607
1956,0,0,0.47,2012-09-14,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,2,67,3761,684,486,198,0,1,0.18186652486040947
1965,0,0,0.52,2012-10-20,74,457,4,29,0,0,9,1,8,1,7,7,0,1,0,0,0,0,0,1,58,3725,499,466,33,1,1,0.13395973154362417
1994,0,0,0.7,2012-08-22,55,241,45,604,34,26,54,1,6,4,10,2,0,0,0,0,0,0,0,0,29,3784,1004,295,709,1,0,0.2653276955602537
1974,1,0,0.34,2013-10-13,48,210,0,6,0,0,2,2,4,1,5,7,0,0,0,0,0,0,0,1,49,3367,218,212,6,1,1,0.06474606474606474
1972,0,0,0.54,2013-05-23,53,441,35,83,7,29,11,4,4,2,12,4,0,0,0,0,0,0,0,1,51,3510,606,452,154,1,1,0.17264957264957265
1968,1,0,0.42,2013-07-05,13,19,13,18,10,7,8,1,1,1,3,3,0,0,0,0,0,0,0,1,55,3467,75,27,48,0,0,0.021632535333141044
1968,0,0,0.3,2012-08-22,34,28,9,37,12,7,13,3,2,0,4,8,0,0,0,0,0,0,0,3,55,3784,106,41,65,1,0,0.028012684989429177
1948,0,0,0.67,2013-05-29,54,476,75,162,29,151,97,1,4,4,8,2,0,0,0,0,0,0,0,0,75,3504,990,573,417,1,1,0.2825342465753425
1969,0,1,0.71,2014-01-22,69,364,40,425,158,60,50,1,3,4,8,1,0,0,0,0,0,0,0,0,54,3266,1097,414,683,1,0,0.33588487446417636
1996,0,0,0.11,2014-02-17,81,0,0,2,3,3,8,1,1,0,2,5,1,0,0,0,0,0,0,0,27,3240,16,8,8,1,0,0.0049382716049382715
1974,1,0,0.16,2014-03-17,99,0,6,3,7,6,12,1,1,0,3,8,0,0,0,0,0,0,0,0,49,3212,34,12,22,1,0,0.010585305105853052
1990,1,0,0.65,2012-08-26,3,863,83,547,86,99,33,1,8,2,5,5,0,0,0,0,0,0,0,0,33,3780,1711,896,815,0,1,0.45264550264550263
1957,1,0,0.58,2014-01-12,61,349,7,35,0,0,47,3,8,2,4,7,0,1,0,0,0,0,0,2,66,3276,438,396,42,1,1,0.1336996336996337
1979,0,0,0.2,2013-01-08,65,5,23,15,0,18,14,2,2,0,3,8,0,0,0,0,0,0,0,1,44,3645,75,19,56,1,0,0.0205761316872428
1960,1,0,0.41,2013-11-13,93,184,2,19,8,8,4,3,2,2,6,5,0,0,0,0,0,0,0,1,63,3336,225,188,37,1,1,0.06744604316546762
1952,1,0,0.28,2012-11-03,24,8,0,8,0,0,2,1,1,0,2,8,0,0,0,0,0,0,0,2,71,3711,18,10,8,0,1,0.004850444624090542
1981,0,0,0.47,2013-05-17,8,277,21,64,62,21,25,2,3,2,10,3,0,0,0,0,0,0,0,1,42,3516,470,302,168,0,1,0.133674630261661
1981,0,1,0.24,2013-04-13,72,44,5,19,0,4,19,3,2,0,4,5,0,0,0,0,0,0,0,2,42,3550,91,63,28,1,1,0.02563380281690141
1991,1,1,0.79,2014-02-13,29,1156,120,915,94,144,96,1,3,4,10,1,0,0,1,0,0,0,0,0,32,3244,2525,1252,1273,0,0,0.7783600493218249
1950,0,0,0.41,2013-01-13,33,373,14,83,6,9,19,3,8,2,6,7,0,0,0,0,0,1,0,1,73,3640,504,392,112,1,1,0.13846153846153847
1957,0,0,0.37,2013-01-05,68,134,8,76,6,0,11,1,4,1,5,6,0,0,0,0,0,0,0,1,66,3648,235,145,90,1,1,0.0644188596491228
1961,1,1,0.48,2013-01-19,55,1148,0,60,0,0,24,3,9,5,4,7,0,1,0,0,0,0,1,1,62,3634,1232,1172,60,1,1,0.33902036323610346
1958,0,1,0.12,2013-05-03,76,6,12,3,21,6,40,5,2,2,3,5,0,0,0,0,0,0,0,2,65,3530,88,46,42,1,1,0.024929178470254956
1971,0,1,0.23,2014-05-08,17,4,1,11,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,1,52,3160,17,5,12,0,0,0.005379746835443038
1985,0,1,0.18,2013-08-02,94,5,4,8,2,0,5,1,1,0,3,5,0,0,0,0,0,0,0,1,38,3439,24,10,14,1,0,0.006978772899098575
1965,0,0,0.38,2013-08-22,86,24,2,20,2,2,10,2,1,0,4,4,0,0,0,0,0,0,0,2,58,3419,60,34,26,1,1,0.01754899093302135
1952,1,1,0.54,2013-08-25,25,899,0,101,0,0,20,1,6,6,13,4,0,0,0,1,0,0,0,1,71,3416,1020,919,101,0,1,0.29859484777517564
1962,1,0,0.27,2012-12-06,22,108,1,28,13,1,4,2,3,1,4,8,0,0,0,0,0,0,0,1,61,3678,155,112,43,0,1,0.04214246873300707
1974,1,0,0.39,2014-02-27,15,27,2,7,0,2,13,1,1,0,3,5,0,0,0,0,0,0,0,2,49,3230,51,40,11,0,1,0.015789473684210527
1970,1,1,0.69,2012-12-22,35,816,66,549,216,66,99,1,5,6,4,3,0,0,0,0,0,0,1,0,53,3662,1812,915,897,1,1,0.4948115783724741
1969,1,1,0.59,2012-11-17,81,1298,0,70,37,14,42,4,7,4,10,4,0,1,1,0,0,0,1,1,54,3697,1461,1340,121,1,1,0.3951852853665134
1960,0,1,0.51,2014-04-20,55,10,0,11,17,29,29,1,1,2,2,4,0,0,0,0,0,0,0,1,63,3178,96,39,57,1,0,0.030207677784770296
1952,0,1,0.54,2014-02-17,94,87,13,34,10,6,10,1,4,0,4,5,0,0,0,0,0,0,0,1,71,3240,160,97,63,1,1,0.04938271604938271
1969,1,0,0.37,2013-04-22,50,57,2,51,4,2,23,3,2,1,4,6,0,0,0,0,0,0,0,2,54,3541,139,80,59,1,1,0.03925444789607455
1968,1,1,0.55,2013-04-21,64,635,15,100,20,7,131,1,9,3,9,6,0,0,0,0,0,0,0,1,55,3542,908,766,142,1,1,0.256352343308865
1965,1,0,0.4,2013-09-01,91,43,12,23,29,15,61,1,2,1,4,4,0,0,0,0,0,0,0,1,58,3409,183,104,79,1,1,0.05368143150484013
1969,1,0,0.61,2013-03-31,11,964,34,137,15,0,11,2,5,2,10,8,0,1,0,0,0,0,0,1,54,3563,1161,975,186,0,1,0.32584900364861075
1972,1,0,0.68,2014-04-05,72,572,8,259,34,35,80,1,3,5,5,1,0,0,0,0,0,0,0,0,51,3193,988,652,336,1,1,0.30942687128092705
1961,1,1,0.51,2012-09-09,6,341,142,113,259,151,66,3,6,6,12,5,0,0,0,0,0,0,0,1,62,3766,1072,407,665,0,0,0.28465215082315454
1977,0,0,0.47,2013-09-11,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,0,0,2,46,3399,174,85,89,0,0,0.05119152691968226
1959,0,0,0.5,2013-01-25,66,221,104,169,102,78,84,3,9,2,8,7,0,0,0,0,0,1,0,1,64,3628,758,305,453,1,0,0.2089305402425579
1958,1,0,0.44,2013-12-31,42,140,3,29,4,5,14,2,3,2,4,4,0,0,0,0,0,0,0,1,65,3288,195,154,41,1,1,0.05930656934306569
1979,0,1,0.12,2012-10-10,60,1,2,8,4,3,13,2,1,1,2,7,1,0,0,0,0,0,1,1,44,3735,31,14,17,1,0,0.008299866131191432
1957,1,0,0.58,2013-08-17,64,291,10,689,84,10,0,1,3,4,9,1,0,0,0,0,0,0,0,0,66,3424,1084,291,793,1,0,0.316588785046729
1956,1,0,0.44,2013-02-20,87,544,13,85,8,6,29,3,10,4,5,8,1,0,0,0,0,0,0,1,67,3602,685,573,112,1,1,0.19017212659633537
1965,1,0,0.74,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,0,58,3327,1672,684,988,1,0,0.5025548542230237
1990,0,0,0.15,2013-10-29,1,1,12,9,0,14,7,1,2,0,3,7,0,0,0,0,0,0,0,0,33,3351,43,8,35,0,0,0.012831990450611758
1957,1,0,0.35,2014-02-16,54,35,0,4,0,0,10,1,1,1,2,5,1,0,0,0,0,0,0,2,66,3241,49,45,4,1,1,0.01511879049676026
1965,0,0,0.31,2013-05-22,53,87,3,25,3,2,13,2,3,0,4,7,0,0,0,0,0,0,0,1,58,3511,133,100,33,1,1,0.03788094559954429
1957,0,0,0.36,2013-10-12,96,309,3,24,4,3,20,2,5,1,7,7,0,1,0,0,0,0,0,1,66,3368,363,329,34,1,1,0.1077790973871734
1955,0,0,0.57,2013-04-15,58,172,73,93,95,78,34,2,2,4,10,1,0,0,0,0,0,1,0,1,68,3548,545,206,339,1,0,0.15360766629086808
1972,0,0,0.67,2013-10-27,12,625,38,242,50,34,76,2,7,11,11,4,1,0,0,0,0,0,0,1,51,3353,1065,701,364,0,1,0.3176260065612884
1969,0,0,0.65,2013-03-12,78,972,59,913,25,19,59,1,5,9,6,3,0,0,1,0,0,0,0,0,54,3582,2047,1031,1016,1,1,0.5714684533780011
1972,0,0,0.49,2012-10-31,64,157,6,39,6,13,75,5,4,1,5,6,0,0,0,0,0,0,0,2,51,3714,296,232,64,1,1,0.07969843834141088
1975,0,1,0.36,2013-06-28,26,48,9,45,3,15,20,4,2,1,4,6,0,0,0,0,0,0,1,2,48,3474,140,68,72,0,0,0.04029936672423719
1965,0,1,0.53,2013-07-17,8,279,83,88,32,14,34,1,4,2,10,3,0,0,0,0,0,0,0,1,58,3455,530,313,217,0,1,0.15340086830680175
1963,1,0,0.28,2012-08-08,49,132,0,16,0,0,4,5,3,1,4,9,0,0,0,0,0,0,0,2,60,3798,152,136,16,1,1,0.040021063717746184
1991,1,0,0.6,2013-10-06,56,919,0,505,99,30,45,1,4,9,10,2,0,0,0,0,0,0,0,0,32,3374,1598,964,634,1,1,0.4736218138707765
1963,0,1,0.29,2013-01-19,55,62,0,22,3,1,26,2,2,2,2,7,0,0,0,0,0,0,0,1,60,3634,114,88,26,1,1,0.03137039075399009
1986,0,1,0.06,2012-08-22,25,1,45,3,4,6,42,3,3,1,3,8,0,0,0,0,0,0,0,1,37,3784,101,43,58,0,0,0.026691331923890064
1973,0,0,0.22,2013-09-22,50,2,6,4,3,1,9,1,1,0,2,8,0,0,0,0,0,0,0,1,50,3388,25,11,14,1,0,0.007378984651711925
1957,1,1,0.67,2013-01-26,84,408,61,109,48,122,41,1,5,7,9,4,0,0,0,1,0,0,0,0,66,3627,789,449,340,1,1,0.21753515301902399
1981,0,0,0.34,2013-07-30,30,51,1,7,2,1,25,2,2,1,2,8,1,0,0,0,0,0,0,2,42,3442,87,76,11,1,1,0.0252760023242301
1958,1,1,0.28,2013-09-22,81,62,1,16,3,2,6,4,2,1,4,5,0,0,0,0,0,0,0,2,65,3388,90,68,22,1,1,0.026564344746162927
1959,1,0,0.65,2013-04-28,74,952,12,180,47,12,12,2,5,4,9,3,0,0,0,0,0,0,0,1,64,3535,1215,964,251,1,1,0.3437057991513437
1955,1,1,0.53,2013-10-12,76,618,15,106,20,7,45,1,11,2,8,6,0,1,0,0,0,0,0,0,68,3368,811,663,148,1,1,0.2407957244655582
1986,0,0,0.19,2012-10-22,36,11,7,12,2,2,27,2,2,1,2,5,1,0,0,0,0,0,1,1,37,3723,61,38,23,1,1,0.016384636046199302
1975,1,0,0.47,2013-08-15,64,318,3,17,4,7,56,5,4,1,8,4,0,0,0,0,0,0,0,1,48,3426,405,374,31,1,1,0.11821366024518389
1955,1,0,0.33,2014-03-30,62,56,0,14,0,0,2,3,3,0,3,7,0,0,0,0,0,0,0,2,68,3199,72,58,14,1,1,0.022507033447952487
1971,0,1,0.38,2013-02-15,53,110,5,59,7,1,7,5,5,0,4,8,0,0,0,0,0,0,0,2,52,3607,189,117,72,1,1,0.052398114776822845
1986,1,0,0.33,2013-06-29,86,23,0,11,2,1,3,1,1,0,3,5,0,0,0,0,0,0,0,1,37,3473,40,26,14,1,1,0.01151742009789807
1978,0,1,0.36,2014-02-09,15,27,5,8,8,3,12,3,3,0,4,4,0,0,0,0,0,0,0,1,45,3248,63,39,24,0,1,0.01939655172413793
1983,0,0,0.24,2013-03-21,67,18,3,19,3,3,6,2,2,0,3,8,0,0,0,0,0,0,0,1,40,3573,52,24,28,1,0,0.014553596417576267
1976,1,0,0.32,2014-05-02,47,18,0,9,0,1,11,1,1,0,3,6,0,0,0,0,0,0,0,1,47,3166,39,29,10,1,1,0.012318382817435249
1971,0,0,0.56,2014-05-26,47,303,0,280,60,147,15,4,8,2,11,6,0,0,0,0,0,0,0,1,52,3142,805,318,487,1,0,0.2562062380649268
1956,1,0,0.48,2014-04-17,81,97,1,19,2,0,11,1,2,1,4,3,0,0,0,0,0,0,0,1,67,3181,130,108,22,1,1,0.04086765168186105
1972,0,0,0.74,2013-10-04,98,997,15,414,99,30,76,1,5,6,12,2,0,1,1,0,1,0,0,0,51,3376,1631,1073,558,1,1,0.4831161137440758
1989,0,0,0.24,2013-07-04,56,5,4,13,8,0,4,1,1,0,3,8,0,0,0,0,0,0,0,1,34,3468,34,9,25,1,0,0.00980392156862745
1952,0,1,0.38,2013-11-29,48,95,11,35,0,4,7,4,2,1,5,6,0,0,0,0,0,0,0,2,71,3320,152,102,50,1,1,0.04578313253012048
1984,0,1,0.21,2014-01-18,18,1,6,2,3,6,3,1,1,0,3,7,0,0,0,0,0,0,0,1,39,3270,21,4,17,0,0,0.006422018348623854
1967,1,0,0.51,2013-10-03,74,46,1,12,3,0,9,2,2,0,3,4,0,0,0,0,0,0,0,3,56,3377,71,55,16,1,1,0.021024578027835358
1962,0,1,0.67,2014-05-24,68,411,106,147,54,115,66,1,5,10,7,1,1,0,0,0,0,0,0,1,61,3144,899,477,422,1,1,0.285941475826972
1947,1,0,0.57,2014-04-20,36,244,51,270,101,0,45,1,1,3,5,1,0,0,0,0,0,0,0,0,76,3178,711,289,422,1,0,0.223725613593455
1978,1,0,0.23,2012-08-04,90,152,9,121,12,12,45,4,6,2,4,8,0,0,0,0,0,0,0,1,45,3802,351,197,154,1,1,0.0923198316675434
1971,0,1,0.0,2014-05-18,65,1,1,3,1,1,1,15,0,0,0,20,0,0,0,0,0,0,0,0,52,3150,8,2,6,1,0,0.0025396825396825397
1992,0,1,0.05,2012-12-03,63,10,17,18,8,26,40,4,3,2,2,9,0,0,0,0,0,0,0,1,31,3681,119,50,69,1,0,0.03232817169247487
1968,0,0,0.35,2013-04-05,82,12,0,5,0,0,4,1,0,1,2,5,0,0,0,0,0,0,0,2,55,3558,21,16,5,1,1,0.005902192242833052
1973,1,0,0.17,2014-03-24,63,5,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,1,50,3205,10,6,4,1,1,0.0031201248049922
1975,0,0,0.57,2014-05-24,55,790,19,133,12,0,19,3,8,3,13,6,0,1,0,0,0,0,0,1,48,3144,973,809,164,1,1,0.3094783715012723
1965,1,0,0.61,2013-08-27,64,882,29,514,38,29,44,1,4,2,6,3,0,0,1,1,0,0,1,0,58,3414,1536,926,610,1,1,0.44991212653778556
1952,0,0,0.59,2013-07-16,51,615,28,259,12,48,30,4,6,5,13,4,0,1,0,0,0,0,0,2,71,3456,992,645,347,1,1,0.28703703703703703
1967,1,0,0.68,2013-02-22,97,1004,59,265,115,59,27,2,11,10,11,6,1,0,0,0,0,0,1,1,56,3600,1529,1031,498,1,1,0.4247222222222222
1972,0,0,0.65,2013-09-12,92,133,27,421,13,195,71,2,7,3,5,4,0,0,0,0,0,0,0,1,51,3398,860,204,656,1,0,0.25309005297233667
1963,0,1,0.59,2013-10-18,51,595,23,123,10,23,154,2,8,9,4,6,0,0,0,0,0,0,0,1,60,3362,928,749,179,1,1,0.2760261748958953
1970,1,0,0.48,2012-07-30,72,293,0,87,4,11,23,4,7,2,5,7,0,0,0,0,0,0,1,2,53,3807,418,316,102,1,1,0.10979774100341476
1955,1,0,0.55,2012-08-03,39,313,15,47,20,0,192,2,7,4,3,6,0,0,0,0,0,0,1,1,68,3803,587,505,82,1,1,0.15435182750460164
1975,0,0,0.65,2014-05-12,49,151,81,86,168,91,64,2,4,2,11,2,0,0,0,0,0,0,0,1,48,3156,641,215,426,1,0,0.20310519645120406
1976,0,0,0.34,2014-03-19,21,15,0,2,0,0,6,1,1,0,2,6,1,0,0,0,0,0,0,2,47,3210,23,21,2,0,1,0.0071651090342679125
1969,0,0,0.67,2013-08-16,91,736,63,946,219,189,126,1,4,7,11,2,0,0,1,1,0,0,0,0,54,3425,2279,862,1417,1,0,0.6654014598540146
1973,1,1,0.3,2014-05-19,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,0,2,50,3149,49,35,14,1,1,0.015560495395363607
1983,1,1,0.79,2013-05-22,98,982,17,672,23,34,51,1,6,2,8,2,0,0,1,0,0,0,1,0,40,3511,1779,1033,746,1,1,0.5066932497863856
1982,1,0,0.64,2013-12-05,85,1142,51,415,90,69,37,1,7,8,11,3,1,0,0,1,0,0,0,0,41,3314,1804,1179,625,1,1,0.544357272178636
1960,0,0,0.27,2013-07-06,40,28,0,11,0,0,9,3,2,0,3,8,0,0,0,0,0,0,0,2,63,3466,48,37,11,1,1,0.013848817080207732
1952,0,1,0.41,2014-03-06,2,46,0,12,0,2,23,2,2,1,2,7,0,0,0,0,0,0,1,2,71,3223,83,69,14,0,1,0.025752404591995036
1975,0,1,0.73,2013-10-08,78,897,161,430,186,161,27,0,4,7,6,1,1,0,1,1,0,0,1,0,48,3372,1862,924,938,1,0,0.5521945432977462
1963,1,0,0.46,2012-09-24,41,489,6,152,8,6,132,10,9,4,6,8,0,0,0,0,0,0,1,2,60,3751,793,621,172,1,1,0.2114102905891762
1970,0,0,0.16,2013-02-08,94,25,4,9,6,8,32,3,2,1,3,7,0,0,0,0,0,0,0,1,53,3614,84,57,27,1,1,0.02324294410625346
1948,1,0,0.39,2013-08-20,10,145,1,33,2,1,1,1,4,1,4,6,0,0,0,0,0,0,0,1,75,3421,183,146,37,0,1,0.05349313066354867
1958,1,1,0.75,2014-06-21,73,630,26,611,44,18,54,1,6,6,6,2,0,0,0,0,0,0,0,0,65,3116,1383,684,699,1,0,0.4438382541720154
1944,0,0,0.48,2014-04-07,22,760,38,104,50,9,38,2,7,3,4,4,0,1,0,0,0,0,0,0,79,3191,999,798,201,0,1,0.31306800376057664
1963,1,1,0.56,2013-01-22,30,420,15,186,151,38,15,3,5,3,13,3,0,0,0,0,0,0,0,1,60,3631,825,435,390,1,1,0.22721013494904985
1972,0,1,0.33,2012-08-26,21,125,17,52,3,19,30,4,5,1,4,8,1,0,0,0,0,0,1,1,51,3780,246,155,91,0,1,0.06507936507936508
1966,1,0,0.5,2013-03-19,51,464,5,64,7,0,70,8,9,1,7,8,0,0,0,0,0,0,0,2,57,3575,610,534,76,1,1,0.17062937062937064
1968,1,1,0.2,2012-11-21,97,6,6,29,12,15,8,3,2,1,3,8,0,0,0,0,0,0,0,1,55,3693,76,14,62,1,0,0.020579474681830492
1971,0,0,0.58,2013-02-26,56,1090,12,96,16,12,60,4,3,4,11,8,0,1,0,0,0,0,0,1,52,3596,1286,1150,136,1,1,0.3576195773081201
1975,1,0,0.32,2013-12-16,4,3,2,11,2,2,10,1,1,0,2,6,1,0,0,0,0,0,0,1,48,3303,30,13,17,0,0,0.009082652134423252
1964,0,0,0.35,2013-01-01,77,24,0,27,8,30,10,2,3,0,3,7,0,0,0,0,0,1,0,3,59,3652,99,34,65,1,0,0.02710843373493976
1978,0,1,0.63,2012-09-21,95,737,21,106,55,63,210,0,6,7,9,3,0,0,0,1,0,0,0,0,45,3754,1192,947,245,1,1,0.31752797016515716
1975,0,0,0.4,2013-11-29,36,254,6,71,4,0,27,5,5,1,7,5,0,0,0,0,0,0,0,1,48,3320,362,281,81,1,1,0.10903614457831326
1983,0,0,0.69,2012-08-09,13,817,185,687,145,55,241,1,4,6,8,2,0,0,1,0,0,0,1,0,40,3797,2130,1058,1072,0,0,0.5609691861996313
1971,1,1,0.42,2012-08-18,90,620,54,239,99,98,119,2,9,7,10,7,0,1,0,0,1,0,1,0,52,3788,1229,739,490,1,1,0.32444561774023234
1957,1,0,0.32,2012-09-20,49,13,4,20,0,0,1,2,1,0,3,9,0,0,0,0,0,0,0,2,66,3755,38,14,24,1,0,0.010119840213049267
1951,1,0,0.34,2013-07-21,18,113,61,204,34,26,47,2,7,1,7,8,0,0,0,0,0,0,0,0,72,3451,485,160,325,0,0,0.1405389742103738
1951,0,0,0.23,2012-11-05,89,7,23,78,133,49,144,2,4,2,5,7,0,0,0,0,0,0,0,0,72,3709,434,151,283,1,0,0.11701267187921273
1970,0,1,0.29,2013-03-14,43,16,2,18,2,1,5,1,1,0,3,7,0,0,0,0,0,0,0,1,53,3580,44,21,23,1,0,0.012290502793296089
1972,1,0,0.49,2012-11-23,82,462,0,24,6,0,4,2,9,2,5,7,0,1,0,0,0,0,1,1,51,3691,496,466,30,1,1,0.1343809265781631
1969,1,0,0.4,2013-06-08,84,22,2,10,6,4,34,2,1,2,2,4,0,0,0,0,0,0,0,2,54,3494,78,56,22,1,1,0.022323983972524327
1972,1,0,0.73,2013-02-10,80,968,147,842,137,42,210,1,5,7,10,2,1,0,1,1,0,0,1,0,51,3612,2346,1178,1168,1,1,0.6495016611295681
1971,0,0,0.45,2012-12-30,68,283,112,151,51,72,125,2,7,2,10,6,0,0,0,0,0,0,0,0,52,3654,794,408,386,1,1,0.21729611384783798
1956,0,0,0.13,2013-09-05,12,1,2,5,6,0,3,1,1,0,2,7,0,0,0,0,0,0,0,0,67,3405,17,4,13,0,0,0.00499265785609398
1971,0,1,0.19,2013-07-31,75,14,1,7,2,1,1,1,2,0,2,9,0,0,0,0,0,0,0,1,52,3441,26,15,11,1,1,0.007555943039814008
1973,1,0,0.37,2014-03-18,10,30,5,24,6,3,8,2,2,0,4,5,0,0,0,0,0,0,0,1,50,3211,76,38,38,0,0,0.023668639053254437
1977,1,1,0.37,2013-12-07,91,4,0,5,0,1,5,1,1,0,2,7,0,0,0,0,0,0,0,2,46,3312,15,9,6,1,1,0.004528985507246377
1963,1,1,0.42,2014-04-12,21,52,0,9,0,0,1,2,1,0,4,4,0,0,0,0,0,0,0,2,60,3186,62,53,9,0,1,0.0194601381042059
1954,1,0,0.52,2014-03-29,28,62,1,57,19,11,48,2,2,1,5,2,0,0,0,0,0,0,0,1,69,3200,198,110,88,0,1,0.061875
1978,1,0,0.29,2013-10-25,97,20,2,14,3,0,10,1,2,0,2,9,0,0,0,0,0,0,0,1,45,3355,49,30,19,1,1,0.014605067064083458
1966,0,0,0.5,2013-06-24,49,545,7,114,37,21,78,5,7,2,11,5,0,1,0,0,0,0,0,1,57,3478,802,623,179,1,1,0.23059229442208165
1946,0,0,0.69,2014-02-19,14,558,79,622,207,175,95,1,4,6,4,1,0,0,1,0,0,0,1,0,77,3238,1736,653,1083,0,0,0.5361334156886968
1978,0,1,0.05,2012-12-27,5,6,5,4,13,4,25,4,2,1,3,6,0,0,0,0,0,0,0,2,45,3657,57,31,26,0,1,0.015586546349466776
1953,0,0,0.83,2013-03-04,62,1111,24,790,160,45,172,0,5,8,5,2,0,1,1,1,0,0,1,0,70,3590,2302,1283,1019,1,1,0.6412256267409471
1985,1,0,0.19,2014-02-18,83,4,6,8,6,3,10,1,2,0,3,7,0,0,0,0,0,0,0,0,38,3239,37,14,23,1,0,0.011423278789749922
1970,0,1,0.38,2013-02-25,48,183,5,65,3,5,49,5,5,2,4,9,0,0,0,0,0,0,0,2,53,3597,310,232,78,1,1,0.08618293021962747
1979,0,0,0.62,2012-11-01,94,546,72,376,94,145,72,1,5,5,8,3,0,1,0,0,0,0,0,0,44,3713,1305,618,687,1,0,0.35146781578238623
1966,0,0,0.53,2013-06-28,61,606,7,155,10,0,54,5,10,3,8,7,0,0,0,0,0,0,0,1,57,3474,832,660,172,1,1,0.23949337938975246
1976,0,0,0.43,2013-04-03,70,266,6,51,8,6,64,6,7,1,5,8,0,0,0,0,0,0,0,2,47,3560,401,330,71,1,1,0.11264044943820224
1965,1,0,0.71,2014-05-23,43,1142,29,249,38,29,14,1,5,5,12,2,0,1,1,0,0,0,0,0,58,3145,1501,1156,345,1,1,0.47726550079491253
